OWNER,TABLE_NAME,TABLESPACE_NAME,CLUSTER_NAME,IOT_NAME,STATUS,PCT_FREE,PCT_USED,INI_TRANS,MAX_TRANS,INITIAL_EXTENT,NEXT_EXTENT,MIN_EXTENTS,MAX_EXTENTS,PCT_INCREASE,FREELISTS,FREELIST_GROUPS,LOGGING,BACKED_UP,NUM_ROWS,BLOCKS,EMPTY_BLOCKS,AVG_SPACE,CHAIN_CNT,AVG_ROW_LEN,AVG_SPACE_FREELIST_BLOCKS,NUM_FREELIST_BLOCKS,DEGREE,INSTANCES,CACHE,TABLE_LOCK,SAMPLE_SIZE,LAST_ANALYZED,PARTITIONED,IOT_TYPE,OBJECT_ID_TYPE,TABLE_TYPE_OWNER,TABLE_TYPE,TEMPORARY,SECONDARY,NESTED,BUFFER_POOL,FLASH_CACHE,CELL_FLASH_CACHE,ROW_MOVEMENT,GLOBAL_STATS,USER_STATS,DURATION,SKIP_CORRUPT,MONITORING,CLUSTER_OWNER,DEPENDENCIES,COMPRESSION,COMPRESS_FOR,DROPPED,SEGMENT_CREATED
SYS,ICOL$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,2968,777,0,0,0,30,0,0,         1,         1,    N,ENABLED,2968,2013-08-24 11:43:12.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,IND$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,5000,1432,0,0,0,91,0,0,         1,         1,    N,ENABLED,5000,2016-01-16 20:51:08.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,COL$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,94064,1407,0,0,0,59,0,0,         1,         1,    N,ENABLED,94064,2015-09-26 08:29:57.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,CLU$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,10,1432,0,0,0,47,0,0,         1,         1,    N,ENABLED,10,2016-01-16 20:50:52.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,TAB$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,2952,1432,0,0,0,138,0,0,         1,         1,    N,ENABLED,2952,2016-01-16 20:50:51.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,LOB$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,189,777,0,0,0,47,0,0,         1,         1,    N,ENABLED,189,2013-08-24 11:43:13.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,COLTYPE$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,1591,777,0,0,0,49,0,0,         1,         1,    N,ENABLED,1591,2013-08-24 11:43:10.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,SUBCOLTYPE$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,63,777,0,0,0,44,0,0,         1,         1,    N,ENABLED,63,2013-08-24 11:43:18.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,NTAB$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,256,777,0,0,0,17,0,0,         1,         1,    N,ENABLED,256,2013-08-24 11:43:14.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
SYS,REFCON$,SYSTEM,C_OBJ#,null,VALID,0,0,0,0,139264,204800,1,2147483645,null,1,1,YES,N,0,777,0,0,0,0,0,0,         1,         1,    N,ENABLED,0,2013-08-24 11:43:16.0,NO,null,null,null,null,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,null,DISABLED,YES,SYS,DISABLED,DISABLED,null,NO,YES
